match_id,winner_id,scores_csv,forfeited
377230871,29537956,2-1,false
376842863,236637115,0-0,true
25758217,18065374,0-0,true
25758276,18065376,0-0,true
168538577,101547429,2-0,false
168538585,101547429,0-0,true
168538588,101547429,2-0,false
137339091,83965409,0-0,true
137339168,83743830,0-0,true
250876195,154940717,0-0,true
250876199,154756449,0-0,true
382349608,30403767,0-0,true
382349609,30403768,0-0,true
382349615,30403765,0-0,true
382349619,30403769,0-0,true
408892930,259593753,0-0,true
