url,name,subdomain,yt_vods,twitch_vods
http://www.challonge.com/SPHAT7,SPHAT7,,,
http://www.challonge.com/SPHAT8,SPHAT8,,,
http://www.challonge.com/SPHAT9,SPHAT9,f27f75c45e95e0586da5b61c,,
http://www.challonge.com/SSRotS,SSRotS,890c83afbf1b2835780f6f73,RoODTGPWBHk,
http://www.challonge.com/SSTSRAexcla,SSTSRAexcla,890c83afbf1b2835780f6f73,,
http://www.challonge.com/Sblaze01,Sblaze01,,,
http://www.challonge.com/Sblaze02,Sblaze02,,,
http://www.challonge.com/Sblaze03,Sblaze03,,,
http://www.challonge.com/Sblaze04,Sblaze04,,,
http://www.challonge.com/SomeLLBNo2,SomeLLBNo2,,,
http://www.challonge.com/SpontaneousStreetSlam,SpontaneousStreetSlam,,,
http://www.challonge.com/TRP_BFTO,TRP_BFTO,,1mrMNGhRlek,1104441002
http://www.challonge.com/TRST2,TRST2,acf7c7ff006b558e0c2a3ae2,LULd2KuIMDA,
http://www.challonge.com/TRST3,TRST3,acf7c7ff006b558e0c2a3ae2,Ce7Yzm30PUk,
http://www.challonge.com/TYFNSST,TYFNSST,,,
http://www.challonge.com/TYFS2019,TYFS2019,,,
http://www.challonge.com/ablaze,ablaze,,list=PLmcF8BW7qs47LNW1y1Cp4D3BaU9z8d8JB,790059575
http://www.challonge.com/asolkctf,asolkctf,,,
http://www.challonge.com/buntfest2020,buntfest2020,,Y6T6UrYivRg,
http://www.challonge.com/bwnv3634,bwnv3634,,,
http://www.challonge.com/coffeecup3,coffeecup3,,,
http://www.challonge.com/coffeede1,coffeede1,,,
http://www.challonge.com/coffeede2,coffeede2,,,
http://www.challonge.com/d0u699kc,d0u699kc,,,
http://www.challonge.com/daircheckup,daircheckup,,,
http://www.challonge.com/daironline6,daironline6,,RwRDBPPu_z0,
http://www.challonge.com/daironline7,daironline7,,nF510VXTwes,
http://www.challonge.com/daironline8,daironline8,,ZpPTHhmf888,
http://www.challonge.com/e4oedgq,e4oedgq,,,
http://www.challonge.com/edhppeet,edhppeet,,,
http://www.challonge.com/eqliocbd,eqliocbd,,,
http://www.challonge.com/fasks81,fasks81,,,
http://www.challonge.com/fs5x53e2,fs5x53e2,,,
http://www.challonge.com/fy4q2zd5,fy4q2zd5,,,1224287285
http://www.challonge.com/gbttatw9,gbttatw9,,,
http://www.challonge.com/hm0azs5g,hm0azs5g,,,
http://www.challonge.com/hmc7wbzr,hmc7wbzr,,,
http://www.challonge.com/hqmjp83o,hqmjp83o,,,
http://www.challonge.com/hsp0n1go,hsp0n1go,,TA0A1zh0WZ0,
http://www.challonge.com/hyhyllb,hyhyllb,,9pyOUfS3ip4,
http://www.challonge.com/hyhyllb2,hyhyllb2,,list=PLwrJnX5CdA9_sYyv_rjSZZsDXwWEM5Jpk,
http://www.challonge.com/i94ef06v,i94ef06v,,,
http://www.challonge.com/k0x6kbjd,k0x6kbjd,,,
http://www.challonge.com/k7pxgg1c,k7pxgg1c,,,
http://www.challonge.com/llbsgot,llbsgot,,,
http://www.challonge.com/lv7g7k8,lv7g7k8,,,
http://www.challonge.com/madeix1t,madeix1t,,,
http://www.challonge.com/mnbmkw22,mnbmkw22,,,1486130650
http://www.challonge.com/n31nq162,n31nq162,,,
http://www.challonge.com/nbok1ipx,nbok1ipx,,,
http://www.challonge.com/nllwuglw,nllwuglw,,Dirp3UOF4YM,
http://www.challonge.com/npjkaj79,npjkaj79,,,
http://www.challonge.com/of93ga4b,of93ga4b,,,
http://www.challonge.com/opcd6pfy,opcd6pfy,,,
http://www.challonge.com/os94c5fx,os94c5fx,,,
http://www.challonge.com/p4ns9jrw,p4ns9jrw,,,
http://www.challonge.com/qt31y0a0,qt31y0a0,,,
http://www.challonge.com/rhat,rhat,,,
http://www.challonge.com/roi26cba,roi26cba,,,1507581136
http://www.challonge.com/rvfgcepe,rvfgcepe,,,
http://www.challonge.com/s2ttd7pi,s2ttd7pi,,,
http://www.challonge.com/s888zys5,s888zys5,,,
http://www.challonge.com/s8y8pdqd,s8y8pdqd,,,1478556071
http://www.challonge.com/sizatyn3,sizatyn3,,9XKDRhzGH0o,
