url,name,subdomain,yt_vods,twitch_vods
http://www.challonge.com/cflht3,cflht3,,,
http://www.challonge.com/MTGLL2,MTGLL2,,,
http://www.challonge.com/CandyLeague14,CandyLeague14,,,
http://www.challonge.com/cflht2,cflht2,,,84764866
http://www.challonge.com/CandyLeague13,CandyLeague13,,,
http://www.challonge.com/cflht,cflht,,,2752675
http://www.challonge.com/CandyLeague12,CandyLeague12,,,
http://www.challonge.com/CandyLeague11,CandyLeague11,,,
http://www.challonge.com/MGTLLT,MGTLLT,,,
http://www.challonge.com/CandyLeague10,CandyLeague10,,,
http://www.challonge.com/CandyLeague9,CandyLeague9,,,
http://www.challonge.com/CandyLeague8,CandyLeague8,,,
http://www.challonge.com/CandyLeague7,CandyLeague7,,,
http://llt.challonge.com/llt52,llt52,llt,,
http://www.challonge.com/CandyLeague6,CandyLeague6,,,
http://www.challonge.com/TGtv2,TGtv2,,,
http://www.challonge.com/CandyLeague5,CandyLeague5,,,
http://llt.challonge.com/llt51,llt51,llt,,72440790
http://www.challonge.com/CandyLeague4,CandyLeague4,,,71030903
http://www.challonge.com/CandyLeague3,CandyLeague3,,,
http://www.challonge.com/CandyLeague2,CandyLeague2,,,
http://llt.challonge.com/llt50,llt50,llt,,
http://www.challonge.com/CandyLeague,CandyLeague,,,
http://llt.challonge.com/llt49,llt49,llt,,
http://llt.challonge.com/llt48,llt48,llt,,
http://llt.challonge.com/llt47,llt47,llt,srlO8pOfjDA,
http://llt.challonge.com/llt46,llt46,llt,,
http://competitivegaming.challonge.com/7xtf1r36,7xtf1r36,competitivegaming,,
http://llt.challonge.com/naminillt38,naminillt38,llt,,
http://llt.challonge.com/naminillt37,naminillt37,llt,,
http://tgtourneys.challonge.com/LLuaco14,LLuaco14,tgtourneys,,
http://llt.challonge.com/llt45,llt45,llt,,
http://llt.challonge.com/naminillt36,naminillt36,llt,,
http://llt.challonge.com/llt44,llt44,llt,Ev7A_NGoIQ8,
http://llt.challonge.com/naminillt35,naminillt35,llt,,
http://llt.challonge.com/llt43,llt43,llt,,
http://llt.challonge.com/naminillt34,naminillt34,llt,,
http://llt.challonge.com/llt42,llt42,llt,scKBOsjmoMo,
http://llt.challonge.com/naminillt33,naminillt33,llt,BrS6vU7dUwU,
http://www.challonge.com/DDF2015,DDF2015,,,
http://llt.challonge.com/llt41,llt41,llt,,
http://llt.challonge.com/naminillt32,naminillt32,llt,,
http://llt.challonge.com/llt40,llt40,llt,5WQNegWECCU,
http://tgtourneys.challonge.com/LLuaco13,LLuaco13,tgtourneys,,
http://llt.challonge.com/llt39,llt39,llt,,
http://tgtourneys.challonge.com/LLuaco12,LLuaco12,tgtourneys,,
http://llt.challonge.com/naminillt31,naminillt31,llt,,
http://llt.challonge.com/llt38,llt38,llt,,
http://www.challonge.com/tasty4,tasty4,,,
http://llt.challonge.com/naminillt30,naminillt30,llt,,
http://tgtourneys.challonge.com/LLuaco11,LLuaco11,tgtourneys,,
